source_folder,source_file,family,system_label,refrigerant,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,pcrit_Pa,tcrit_K,Aref_m2,Cd_true,dataset_sha256
newdata,fixed_data_simple_B12W50_R290.pkl,B12W50_R290,simple,R290,0.295883971226139,0.019589510247340545,1.4451679270825293,1.2322653606879442e-06,3.435548672676086,23505.988540649418,23.50598854064942,1780588.3789062498,522726.4404296875,1257861.9384765623,7.245963945388794,317.6844159437895,460.5508622365505,4251200.0,369.89,2.544690049407732e-06,271.3771909967176,724c70e8d830fd59ca37cf1165495d577205fe77abf3f7cde841fd130bc4e492
newdata,fixed_data_simple_B12W50_R290.pkl,B12W50_R290,simple,R290,0.3009925357013167,0.020051155032578906,1.4410617139891788,1.2171576242397118e-06,4.147958507537841,29133.272171020504,29.133272171020504,1790251.46484375,510671.9970703125,1279579.4677734375,7.416721735000611,317.765269309165,460.43750562236727,4251200.0,369.89,2.544690049407732e-06,333.51886112889895,724c70e8d830fd59ca37cf1165495d577205fe77abf3f7cde841fd130bc4e492
newdata,fixed_data_simple_B12W65_R290.pkl,B12W65_R290,simple,R290,0.42494722537901064,0.016602031486342303,1.2567238645844312,6.131655504731021e-07,1.1931684708595278,7861.09347820282,7.86109347820282,2337987.060546875,531451.416015625,1806535.64453125,6.140925426483154,331.90329920617864,432.8062871208155,4251200.0,369.89,2.544690049407732e-06,78.12014186041125,2bbd8c857fa16d231d7e5a43e10ffd8679f503e860350f488b1c2a00104759a1
newdata,fixed_data_simple_B12W65_R290.pkl,B12W65_R290,simple,R290,0.43167355458091244,0.017311374179902275,1.2498679103247035,5.935617940844423e-07,1.5890244030952443,10849.684906005858,10.849684906005859,2363859.86328125,528729.248046875,1835130.615234375,6.403304195404052,332.19041032597835,432.29595548114577,4251200.0,369.89,2.544690049407732e-06,107.03927524060555,2bbd8c857fa16d231d7e5a43e10ffd8679f503e860350f488b1c2a00104759a1
newdata,fixed_data_simple_B12W65_R290.pkl,B12W65_R290,simple,R290,0.4394832032490459,0.01910965806643985,1.2418328915825159,5.708538819399602e-07,1.8988606643676753,13931.410751342768,13.931410751342769,2394833.984375,526502.9907226562,1868330.9936523438,7.068471422195435,332.1771854067119,432.55613753832455,4251200.0,369.89,2.544690049407732e-06,136.1748981735568,2bbd8c857fa16d231d7e5a43e10ffd8679f503e860350f488b1c2a00104759a1
newdata,fixed_data_simple_B12W65_R290.pkl,B12W65_R290,simple,R290,0.4496294078317225,0.0214491869212196,1.2311543637767761,5.411228719450763e-07,2.2261896133422883,16917.304954528805,16.917304954528806,2437131.34765625,525666.8090820312,1911464.5385742188,7.933839750289917,332.19195714481907,432.82938015495637,4251200.0,369.89,2.544690049407732e-06,163.43301762551917,2bbd8c857fa16d231d7e5a43e10ffd8679f503e860350f488b1c2a00104759a1
newdata,fixed_data_simple_B12W65_R290.pkl,B12W65_R290,simple,R290,0.4608807547629934,0.023885766298812353,1.2187112864599732,5.071262689150696e-07,2.863331079483031,22938.787536621094,22.938787536621096,2488132.32421875,528836.0595703125,1959296.2646484375,8.835106096267701,332.3368111531202,432.84976321250554,4251200.0,369.89,2.544690049407732e-06,218.87790445091466,2bbd8c857fa16d231d7e5a43e10ffd8679f503e860350f488b1c2a00104759a1
newdata,fixed_data_simple_B12W65_R290.pkl,B12W65_R290,simple,R290,0.47079358371882496,0.0249047784568871,1.2143909778170119,4.954859585180412e-07,2.990243701934814,23809.58911895752,23.80958911895752,2506291.50390625,504853.82080078137,2001437.6831054688,9.212028503417969,332.3284706446759,433.0013927595798,4251200.0,369.89,2.544690049407732e-06,224.74308012301077,2bbd8c857fa16d231d7e5a43e10ffd8679f503e860350f488b1c2a00104759a1
newdata,fixed_data_simple_B2W35_R290.pkl,B2W35_R290,simple,R290,0.18646023441267318,0.013523175673923235,1.7803676735947227,2.698591478762992e-06,0.9700000000000002,4640.116205215454,4.640116205215454,1209243.1640625,416563.41552734375,792679.7485351562,5.0020874500274655,302.84940015491196,485.35682225494696,4251200.0,369.89,2.544690049407732e-06,65.73543131635724,8527446be505a216a7db933e163be51d80abc6bc4152276c1bbee8df37125695
newdata,fixed_data_simple_B2W35_R290.pkl,B2W35_R290,simple,R290,0.187421087308804,0.01354882247179377,1.7823382945178956,2.7085437072854787e-06,1.2684400010108938,6867.336807250977,6.867336807250977,1206813.96484375,410049.4384765625,796764.5263671875,5.011573944091797,302.7557050918227,485.50781314864696,4251200.0,369.89,2.544690049407732e-06,97.02314579060898,8527446be505a216a7db933e163be51d80abc6bc4152276c1bbee8df37125695
newdata,fixed_data_simple_B2W35_R290.pkl,B2W35_R290,simple,R290,0.19021427267962573,0.013453447305359151,1.7776649403799873,2.684966678583106e-06,1.5844018316268906,9113.86137008667,9.11386137008667,1212587.890625,403948.9746093751,808638.9160156249,4.976295623779296,302.9909351671533,485.1273853312605,4251200.0,369.89,2.544690049407732e-06,127.86371377759194,8527446be505a216a7db933e163be51d80abc6bc4152276c1bbee8df37125695
