source_folder,source_file,family,system_label,refrigerant,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,pcrit_Pa,tcrit_K,Aref_m2,Cd_true,dataset_sha256
Daten LOGIN,fixed_data_simple_55_R1270.pkl,55_R1270,simple,R1270,0.35638735925065174,0.015035971176110718,1.352683744886676,8.340468355735627e-07,2.200000047683719,16907.797126770034,16.907797126770035,2273303.22265625,649958.8012695314,1623344.4213867188,5.476266098022461,322.49177304954645,460.7317345919287,4555000.0,364.211,2.544690049407732e-06,171.79389995232998,f796b9c08cffcdcbea4cbd414f96c7e0eebdf22decebc8f5d82a86dd172498fb
Daten LOGIN,fixed_data_simple_55_R1270_R600a_92_8.pkl,55_R1270_R600a_92_8,simple,R1270_R600a_92_8,0.37013370876893087,0.011673532128797922,1.38853787037353,1.043499776704727e-06,1.1286192488670352,7191.764125823975,7.191764125823974,2034892.578125,302416.9921875,1732475.5859375,4.3443601608276365,322.36018387783145,471.36183106345965,4680674.969323206,372.1547268551524,2.544690049407732e-06,69.93181144139581,73835ec158e10a5de4b0561bb89804957d6999be27b525cf4c0fdafb0ec7e027
Daten LOGIN,fixed_data_simple_55_R1270_R600a_92_8.pkl,55_R1270_R600a_92_8,simple,R1270_R600a_92_8,0.3581998942548155,0.012898010002362657,1.379531853563629,1.0102099732202501e-06,1.3872487807273859,9643.482437133789,9.64348243713379,2062332.7636718748,385715.48461914057,1676617.2790527341,4.800055389404298,322.54955640567033,471.09334894826856,4680674.969323206,372.1547268551524,2.544690049407732e-06,95.34843063292226,73835ec158e10a5de4b0561bb89804957d6999be27b525cf4c0fdafb0ec7e027
Daten LOGIN,fixed_data_simple_55_R1270_R600a_92_8.pkl,55_R1270_R600a_92_8,simple,R1270_R600a_92_8,0.3383340228013862,0.014385515932508003,1.3704911257392594,9.771731343045872e-07,1.8886106348037717,13070.95594406128,13.07095594406128,2090522.4609375,506890.869140625,1583631.591796875,5.353637752532959,322.6522312029194,471.02163682046177,4680674.969323206,372.1547268551524,2.544690049407732e-06,132.9872343453121,73835ec158e10a5de4b0561bb89804957d6999be27b525cf4c0fdafb0ec7e027
Daten LOGIN,fixed_data_simple_55_R290.pkl,55_R290,simple,R290,0.3679372423521594,0.013856857754816836,1.4040015575262876,1.0840179223632428e-06,1.310424582958222,8107.123756408691,8.107123756408692,1881618.6523437502,317443.8476562501,1564174.8046875,5.125513114929199,322.3875003069389,451.45748568028273,4251200.0,369.89,2.544690049407732e-06,84.77461788739204,5a52637b827ed4f9a4df76a67eba44595600dc7cdc787c1dcb1139e578bc91dc
Daten LOGIN,fixed_data_simple_55_R290.pkl,55_R290,simple,R290,0.3556801764014793,0.015286199444965705,1.391353095160464,1.0399086277433922e-06,1.6635822212696079,10545.20289421081,10.54520289421081,1914620.3613281252,402552.79541015637,1512067.5659179688,5.654212312698364,322.6802660994647,451.02038023277373,4251200.0,369.89,2.544690049407732e-06,112.20736620352649,5a52637b827ed4f9a4df76a67eba44595600dc7cdc787c1dcb1139e578bc91dc
Daten LOGIN,fixed_data_simple_55_R290.pkl,55_R290,simple,R290,0.3332815719449435,0.01745136974856248,1.3805224342001627,1.0026798276895625e-06,2.108149042129516,14333.325061798087,14.333325061798087,1943666.9921875002,526820.3735351564,1416846.6186523438,6.455087156295776,322.59381386532965,451.3640864533993,4251200.0,369.89,2.544690049407732e-06,157.4969476557868,5a52637b827ed4f9a4df76a67eba44595600dc7cdc787c1dcb1139e578bc91dc
Daten LOGIN,fixed_data_simple_55_R290_R600a_63_37.pkl,55_R290_R600a_63_37,simple,R290_R600a_63_37,0.27268646156836385,0.009597364199699851,1.5382583475738594,2.078999485234041e-06,0.95920068025589,4923.607878684998,4.923607878684997,1352338.8671875,186711.1206054687,1165627.7465820312,3.732346069812775,321.66494321486164,482.43415505456164,4274608.060399811,388.8928243370717,2.544690049407732e-06,57.69452559044546,e05e23315ec90ce3f4c5ddf3d61d0d0023e81e4a80c9c00dcff9b71b4a7c2ea2
Daten LOGIN,fixed_data_simple_55_R290_R600a_63_37.pkl,55_R290_R600a_63_37,simple,R290_R600a_63_37,0.26492214923355306,0.00906801553535355,1.531824577576662,2.0438308993488816e-06,1.157049417495729,6347.181005477905,6.347181005477905,1364020.99609375,231582.64160156256,1132438.3544921875,3.5264861726760857,322.26849575686754,481.41961484662755,4274608.060399811,388.8928243370717,2.544690049407732e-06,75.53736280992493,e05e23315ec90ce3f4c5ddf3d61d0d0023e81e4a80c9c00dcff9b71b4a7c2ea2
Daten LOGIN,fixed_data_simple_55_R290_R600a_63_37.pkl,55_R290_R600a_63_37,simple,R290_R600a_63_37,0.24855212597975693,0.010118582959283058,1.5293057551810403,2.0301317048233004e-06,1.5547320842742909,8823.358001708984,8.823358001708984,1368638.916015625,306175.99487304676,1062462.9211425781,3.935044305324554,322.0164686601361,481.883413121897,4274608.060399811,388.8928243370717,2.544690049407732e-06,108.35679009372238,e05e23315ec90ce3f4c5ddf3d61d0d0023e81e4a80c9c00dcff9b71b4a7c2ea2
Daten LOGIN,fixed_data_simple_55_R290_R600a_82_18.pkl,55_R290_R600a_82_18,simple,R290_R600a_82_18,0.36081324075220894,0.025571021485761715,1.387209775852792,1.16496904394838e-06,0.9697083234786988,5925.530209541321,5.9255302095413205,1801479.4921875002,238996.12426757812,1562483.367919922,9.72335880279541,322.1501609075581,468.3195162140748,4330449.084026184,380.2491350691448,2.544690049407732e-06,60.86932663195735,34f429785ceb8a94b79309d81164745a86a97c308985bfbbd69d7c6b6cd679ed
Daten LOGIN,fixed_data_simple_55_R290_R600a_82_18.pkl,55_R290_R600a_82_18,simple,R290_R600a_82_18,0.38393044584946817,0.03592030004859481,1.331388335462438,9.484468650182965e-07,1.1053067445755003,7585.126161575317,7.585126161575317,1961420.8984375,298829.65087890625,1662591.2475585938,13.658663024902337,322.3802507786796,468.62259117159704,4330449.084026184,380.2491350691448,2.544690049407732e-06,75.51071174069203,34f429785ceb8a94b79309d81164745a86a97c308985bfbbd69d7c6b6cd679ed
Daten LOGIN,fixed_data_simple_55_R290_R600a_82_18.pkl,55_R290_R600a_82_18,simple,R290_R600a_82_18,0.3703075573330633,0.03786692312278088,1.321527201183814,9.119400278833047e-07,1.4112783074378996,10287.538280487055,10.287538280487055,1992175.29296875,388577.2705078125,1603598.0224609375,14.398864765167229,322.4125565161283,468.70269739349806,4330449.084026184,380.2491350691448,2.544690049407732e-06,104.27137305197375,34f429785ceb8a94b79309d81164745a86a97c308985bfbbd69d7c6b6cd679ed
