r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.4176590782554958,1,0,-x5 + x4*(x4 + x5)/(2*x2**2*x3),"sub,div,div,div,add,x4,x5,div,add,x2,x2,x4,x3,x2,x5",1.944064938169068,1.944064938169068,False,-pi5 + pi4*(pi4 + pi5)/(2*pi2**2*pi3),"       pi4*(pi4 + pi5)
-pi5 + ---------------
               2      
          2*pi2 *pi3  ",Aref_m2 * (-pi5 + pi4*(pi4 + pi5)/(2*pi2**2*pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4163155631983713,1,0,-x1 + x2 + x5 + (-x1 + x3)/x2,"sub,add,add,x2,x5,div,sub,x3,x1,x2,x1",1.965671469163626,1.965671469163626,False,-pi1 + pi2 + pi5 + (-pi1 + pi3)/pi2,"                   -pi1 + pi3
-pi1 + pi2 + pi5 + ----------
                      pi2    ",Aref_m2 * (-pi1 + pi2 + pi5 + (-pi1 + pi3)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4134563501655848,1,0,(x1 + x2 + x5/x4)/x2,"div,add,add,sub,x1,sub,x3,x3,div,x5,x4,x2,x2",2.0125252667746087,2.0125252667746087,False,(pi1 + pi2 + pi5/pi4)/pi2,"            pi5
pi1 + pi2 + ---
            pi4
---------------
      pi2      ",Aref_m2 * ((pi1 + pi2 + pi5/pi4)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4120539099811172,1,0,(x1 + 1)/x2,"div,add,x1,div,x5,x5,x2",2.035949183913563,2.035949183913563,False,(pi1 + 1)/pi2,"pi1 + 1
-------
  pi2  ",Aref_m2 * ((pi1 + 1)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4120539099811172,1,0,(x1 + (x1 - x4)/(x4*(x1 - x2)))/x2,"div,add,div,sub,x1,x4,mul,sub,x1,x2,x4,x1,x2",2.035949183913563,2.035949183913563,False,(pi1 + (pi1 - pi4)/(pi4*(pi1 - pi2)))/pi2,"         pi1 - pi4   
pi1 + ---------------
      pi4*(pi1 - pi2)
---------------------
         pi2         ",Aref_m2 * ((pi1 + (pi1 - pi4)/(pi4*(pi1 - pi2)))/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4118108511702709,1,0,x1 + 2*x1*x5/x2,"add,x1,mul,x1,div,div,mul,x5,add,x5,x5,x2,x5",2.040038879079443,2.040038879079443,False,pi1 + 2*pi1*pi5/pi2,"      2*pi1*pi5
pi1 + ---------
         pi2   ",Aref_m2 * (pi1 + 2*pi1*pi5/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4113843744997514,1,0,2*x1*x5/x2 - x4,"sub,div,mul,x5,add,x1,x1,x2,x4",2.0472363757634624,2.0472363757634624,False,2*pi1*pi5/pi2 - pi4,"2*pi1*pi5      
--------- - pi4
   pi2         ",Aref_m2 * (2*pi1*pi5/pi2 - pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4103888746055992,1,0,-x2*x4 + x5 + x5/(x2*(x1 + x3)),"add,sub,div,div,x5,add,x3,x1,x2,mul,x4,x2,x5",2.064144903882774,2.064144903882774,False,-pi2*pi4 + pi5 + pi5/(pi2*(pi1 + pi3)),"                       pi5      
-pi2*pi4 + pi5 + ---------------
                 pi2*(pi1 + pi3)",Aref_m2 * (-pi2*pi4 + pi5 + pi5/(pi2*(pi1 + pi3))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4092155048514864,1,0,x5 + (x4*x5 + 2*x5)/x1**2,"add,x5,div,div,add,mul,x4,x5,add,x5,x5,x1,x1",2.08427018952122,2.08427018952122,False,pi5 + (pi4*pi5 + 2*pi5)/pi1**2,"      pi4*pi5 + 2*pi5
pi5 + ---------------
               2     
            pi1      ",Aref_m2 * (pi5 + (pi4*pi5 + 2*pi5)/pi1**2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4070840780697851,1,0,x2*(2*x1*x3**2/x2**2 + x3),"mul,add,mul,div,x3,x2,div,mul,add,x3,x3,x1,x2,x3,x2",2.12137766815149,2.12137766815149,False,pi2*(2*pi1*pi3**2/pi2**2 + pi3),"    /         2      \
    |2*pi1*pi3       |
pi2*|---------- + pi3|
    |      2         |
    \   pi2          /",Aref_m2 * (pi2*(2*pi1*pi3**2/pi2**2 + pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4050085867733393,1,0,(x1*x2/x4 + x5)/(x2*x5),"div,div,add,div,div,mul,x2,mul,x1,x1,x1,x4,x5,x5,x2",2.1582061924227376,2.1582061924227376,False,(pi1*pi2/pi4 + pi5)/(pi2*pi5),"pi1*pi2      
------- + pi5
  pi4        
-------------
   pi2*pi5   ",Aref_m2 * ((pi1*pi2/pi4 + pi5)/(pi2*pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4021799978696662,1,0,(-x1*x5 + x1 + x5)/x2,"div,add,sub,x1,mul,x5,x1,x5,x2",2.2095302339609546,2.2095302339609546,False,(-pi1*pi5 + pi1 + pi5)/pi2,"-pi1*pi5 + pi1 + pi5
--------------------
        pi2         ",Aref_m2 * ((-pi1*pi5 + pi1 + pi5)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3976313620800666,1,0,(x1/x4 - x2 + x3 - x4)/x2,"div,sub,add,sub,x5,add,x5,sub,x2,div,x1,x4,x3,x4,x2",2.2948982940299576,2.2948982940299576,False,(pi1/pi4 - pi2 + pi3 - pi4)/pi2,"pi1                  
--- - pi2 + pi3 - pi4
pi4                  
---------------------
         pi2         ",Aref_m2 * ((pi1/pi4 - pi2 + pi3 - pi4)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3968470300729785,1,0,x3*x5/(2*x2 - x4),"mul,x5,div,x3,sub,x2,mul,x2,div,sub,x4,x2,x2",2.30998240712023,2.30998240712023,False,pi3*pi5/(2*pi2 - pi4),"  pi3*pi5  
-----------
2*pi2 - pi4",Aref_m2 * (pi3*pi5/(2*pi2 - pi4)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3966453736032644,1,0,x3*x5/(x2 + x2/(x1*x3)),"div,x3,div,add,x2,div,x2,mul,x3,x1,x5",2.3138782726802534,2.3138782726802534,False,pi3*pi5/(pi2 + pi2/(pi1*pi3)),"   pi3*pi5   
-------------
        pi2  
pi2 + -------
      pi1*pi3",Aref_m2 * (pi3*pi5/(pi2 + pi2/(pi1*pi3))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3954377726515306,1,0,x3*x5/(2*x2),"mul,x1,div,x5,div,mul,x2,add,x1,x1,x3",2.337360583793898,2.337360583793898,False,pi3*pi5/(2*pi2),"pi3*pi5
-------
 2*pi2 ",Aref_m2 * (pi3*pi5/(2*pi2)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3953323091485645,1,0,(-x5 + (x1 - x2)/x2)/(x1/x3 - x4),"div,sub,div,sub,x1,x2,x2,x5,sub,div,x1,x3,x4",2.3394238268603065,2.3394238268603065,False,(-pi5 + (pi1 - pi2)/pi2)/(pi1/pi3 - pi4),"       pi1 - pi2
-pi5 + ---------
          pi2   
----------------
   pi1          
   --- - pi4    
   pi3          ",Aref_m2 * ((-pi5 + (pi1 - pi2)/pi2)/(pi1/pi3 - pi4)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3951039616868752,1,0,x1 + x5 + 1/x2,"sub,x1,sub,div,div,x3,sub,sub,x4,x2,x4,x3,x5",2.3438980170903947,2.3438980170903947,False,pi1 + pi5 + 1/pi2,"             1 
pi1 + pi5 + ---
            pi2",Aref_m2 * (pi1 + pi5 + 1/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3947052967816727,1,0,x1*(x5 + 1/x2)/(x4*x5),"mul,div,div,x1,x5,x4,add,div,div,x2,x2,x2,x5",2.3517320510783595,2.3517320510783595,False,pi1*(pi5 + 1/pi2)/(pi4*pi5),"    /       1 \
pi1*|pi5 + ---|
    \      pi2/
---------------
    pi4*pi5    ",Aref_m2 * (pi1*(pi5 + 1/pi2)/(pi4*pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.3928074282344272,1,0,x3 + x3/(x2*x4*(x1*x2/x3 + x2)),"add,div,div,div,x3,add,mul,div,x2,x3,x1,x2,x4,x2,x3",2.389425618964722,2.389425618964722,False,pi3 + pi3/(pi2*pi4*(pi1*pi2/pi3 + pi2)),"                pi3          
pi3 + -----------------------
              /pi1*pi2      \
      pi2*pi4*|------- + pi2|
              \  pi3        /",Aref_m2 * (pi3 + pi3/(pi2*pi4*(pi1*pi2/pi3 + pi2))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
