source_file,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,Aref_m2,Cd_true
fixed_data_simple_B2W50_R290.pkl,0.3124599937442847,0.06268108072659513,1.466860503568325,1.3132500193185524e-06,2.6329282331466675,17.921837568283088,0.01792183756828309,1730961.9140625,402642.822265625,1328319.091796875,6.063768310546875,317.55836566541046,460.5608921297431,2.544690049407732e-06,0.20134363789233048
fixed_data_simple_B2W50_R290.pkl,0.32167650384915936,0.06955334100875728,1.4560750501822588,1.2727386453874725e-06,3.2011106777191163,21.842201538383957,0.021842201538383958,1755341.796875,387841.79687500006,1367500.0,6.728590831756592,317.53963811600045,460.7155626411243,2.544690049407732e-06,0.24180563189449636
fixed_data_simple_B2W65_R290.pkl,0.44577233150528717,0.06134623826837645,1.2618445525600164,6.279441587777348e-07,1.0073999929428121,6.031801020726512,0.006031801020726512,2318986.81640625,423934.9365234375,1895051.8798828125,5.934635639190674,331.7031564069055,433.1544124393093,2.544690049407732e-06,0.05850125644932862
fixed_data_simple_B2W65_R290.pkl,0.44973163765792024,0.06008049795639462,1.261031656037513,6.255903007119295e-07,1.197580814361571,8.163402024656492,0.008163402024656492,2321984.86328125,410101.318359375,1911883.544921875,5.812187910079956,331.8899000645392,432.7215235538264,2.544690049407732e-06,0.07886536705719872
fixed_data_simple_B2W65_R290.pkl,0.4569708277439168,0.06327528463715207,1.2543182578750738,6.06263140965878e-07,1.4656807100772873,10.345877259969715,0.010345877259969716,2347008.056640625,404349.5178222656,1942658.5388183594,6.121251602172851,332.1150763010649,432.35573576304705,2.544690049407732e-06,0.09919701056044035
fixed_data_simple_B2W65_R290.pkl,0.4654530708331225,0.06863936561447853,1.2465607178869051,5.841803105088979e-07,1.739213585853578,12.486661979928613,0.012486661979928614,2376522.216796875,397804.2602539062,1978717.9565429688,6.640172843933105,332.220827204264,432.3150599811058,2.544690049407732e-06,0.11863267850411996
fixed_data_simple_B2W65_R290.pkl,0.468769960646779,0.07394461719485698,1.2412499020391814,5.692175280341034e-07,2.261236190795899,17.2883864119649,0.017288386411964903,2397109.375,404290.771484375,1992818.603515625,7.15340292930603,332.1398966131319,432.66352522952997,2.544690049407732e-06,0.1636046129800385
fixed_data_simple_B2W65_R290.pkl,0.47893498422655556,0.07891518422802238,1.2306850153351654,5.398278712029154e-07,2.5777270650863646,19.7316300496459,0.019731630049645902,2439020.99609375,402989.19677734387,2036031.7993164062,7.634255628585814,332.5305934281456,432.0199446726248,2.544690049407732e-06,0.18487104581296665
fixed_data_simple_B7W50_R290.pkl,0.2894067301561835,0.05917317688959938,1.478870265787708,1.3589313402958601e-06,0.9079999923706054,4.865947132930117,0.004865947132930117,1704475.09765625,474159.24072265625,1230315.8569335938,5.724413661956787,317.1881691611545,461.1657605699708,2.544690049407732e-06,0.05676500210316592
fixed_data_simple_B7W50_R290.pkl,0.2919073370119115,0.057299232169450064,1.4783457556451733,1.3569237209329142e-06,1.1978471851348877,7.331248614937027,0.007331248614937027,1705617.6757812502,464671.32568359375,1240946.3500976565,5.543128232955931,317.4002294145693,460.7518616978111,2.544690049407732e-06,0.08519576474635306
fixed_data_simple_B7W50_R290.pkl,0.2933160012000596,0.057640886208143685,1.476310454430134,1.3491442305242317e-06,1.4863273406028739,10.037582758814096,0.010037582758814096,1710063.4765625,463128.662109375,1246934.814453125,5.5761798477172855,317.48677960564345,460.6018080526033,2.544690049407732e-06,0.11638434187189377
fixed_data_simple_B7W50_R290.pkl,0.29731371306744875,0.06167338835542984,1.4698281997464608,1.3244822553516069e-06,1.944098234176639,12.702218834310779,0.01270221883431078,1724353.02734375,460423.27880859363,1263929.7485351562,5.966284141540528,317.4795559910864,460.6851129090735,2.544690049407732e-06,0.14627366534041467
fixed_data_simple_B7W50_R290.pkl,0.3026818269809954,0.06535626617651492,1.4610011197577224,1.2911811959315856e-06,2.333717775344849,15.340397898107765,0.015340397898107766,1744135.7421875,457385.25390625,1286750.48828125,6.322565774917603,317.64951395097285,460.4439137558072,2.544690049407732e-06,0.1751262288880863
fixed_data_simple_B7W50_R290.pkl,0.31002930682532764,0.07426804613852701,1.4469608912220937,1.238884299244806e-06,3.0305484676361063,20.53402826189995,0.020534028261899952,1776396.484375,458410.6445312499,1317985.83984375,7.1846914482116695,317.63622601149285,460.625969141388,2.544690049407732e-06,0.23157660588977083
fixed_data_simple_B7W50_R290.pkl,0.3108323093024526,0.07122242686345807,1.4493296395184945,1.2476494861025362e-06,3.7122164821624755,25.59027023613453,0.02559027023613453,1770883.7890624998,449484.2529296875,1321399.5361328123,6.890058212280273,317.78661749053117,460.3015562722561,2.544690049407732e-06,0.2883279114352749
fixed_data_simple_B7W65_R290.pkl,0.4357381745012122,0.06159786374461879,1.2603472931089446,6.236109086486119e-07,1.032436711788177,6.831506695598317,0.006831506695598317,2324514.16015625,472119.1406249999,1852395.01953125,5.958977890014649,331.7973050040846,432.96576085345515,2.544690049407732e-06,0.06703058811723436
fixed_data_simple_B7W65_R290.pkl,0.44273469072041804,0.06439159571186073,1.2540118166391605,6.053857211749319e-07,1.3419543504714984,9.402749780565443,0.009402749780565444,2348161.62109375,466023.25439453113,1882138.3666992188,6.229243545532227,332.0316098149171,432.56813384757226,2.544690049407732e-06,0.09156973437230302
