r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
8.780906796455383301e-01,8.560481071472167969e-01,3.264602422714233398e-01,8.245028853416442871e-01,1.607600021362304688e+01,1.676000022888183594e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.443665981292724609e+00,2.114015817642211914e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.019925951957702637e-01,7.376613616943359375e-01,1.050000000000000000e+04
8.780906796455383301e-01,8.479201197624206543e-01,3.239035606384277344e-01,8.245701193809509277e-01,1.598600006103515625e+01,1.503999996185302734e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.440157890319824219e+00,2.161442995071411133e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.019927144050598145e-01,6.493394374847412109e-01,1.100000000000000000e+04
8.780906796455383301e-01,8.455584049224853516e-01,3.333124816417694092e-01,8.263346552848815918e-01,1.643400001525878906e+01,1.636000061035156250e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.421230554580688477e+00,2.076190233230590820e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.019925951957702637e-01,7.566399574279785156e-01,1.150000000000000000e+04
8.780906796455383301e-01,8.575051426887512207e-01,3.115824460983276367e-01,8.233125805854797363e-01,1.648200035095214844e+01,1.747999954223632812e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.423363447189331055e+00,2.140099763870239258e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.998996376991271973e-01,6.210503578186035156e-01,1.200000000000000000e+04
8.780906796455383301e-01,8.583014011383056641e-01,3.126934468746185303e-01,8.190228939056396484e-01,1.626600074768066406e+01,1.652000045776367188e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.433770656585693359e+00,2.150980234146118164e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.779232263565063477e-01,7.906665802001953125e-01,1.250000000000000000e+04
8.780906796455383301e-01,8.451695442199707031e-01,3.231016099452972412e-01,8.126211762428283691e-01,1.620999908447265625e+01,1.663999938964843750e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.436252832412719727e+00,2.144779920578002930e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.822334766387939453e-01,7.765009403228759766e-01,1.300000000000000000e+04
8.780906796455383301e-01,8.583052754402160645e-01,3.175186514854431152e-01,8.178904056549072266e-01,1.639999961853027344e+01,1.435999965667724609e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.437969684600830078e+00,2.183495044708251953e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.956746816635131836e-01,7.926127910614013672e-01,1.350000000000000000e+04
8.780906796455383301e-01,8.367149233818054199e-01,3.218396604061126709e-01,8.178239464759826660e-01,1.647599983215332031e+01,1.671999931335449219e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.431182622909545898e+00,2.159476280212402344e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.996338605880737305e-01,6.374812126159667969e-01,1.400000000000000000e+04
8.780906796455383301e-01,8.374423980712890625e-01,3.201380372047424316e-01,8.263297677040100098e-01,1.652400016784667969e+01,1.720000076293945312e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.432355165481567383e+00,2.142102003097534180e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.022031784057617188e-01,8.404300212860107422e-01,1.450000000000000000e+04
8.780906796455383301e-01,8.466705679893493652e-01,3.175956606864929199e-01,8.204067945480346680e-01,1.638599967956542969e+01,1.531999969482421875e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.431207895278930664e+00,2.196649551391601562e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.956875562667846680e-01,8.193752765655517578e-01,1.500000000000000000e+04
8.780906796455383301e-01,8.465318679809570312e-01,3.389013111591339111e-01,8.280844688415527344e-01,1.593599987030029297e+01,1.639999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.429849624633789062e+00,2.166856765747070312e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.077574968338012695e-01,6.326644420623779297e-01,1.550000000000000000e+04
8.780906796455383301e-01,8.587010502815246582e-01,3.380380868911743164e-01,8.241963386535644531e-01,1.636400032043457031e+01,1.572000026702880859e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.417015790939331055e+00,2.115628957748413086e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.019927144050598145e-01,5.488986968994140625e-01,1.600000000000000000e+04
