r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.6700311603992576,1,0,x2*x5,"mul,x2,mul,x5,div,x5,x5",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,x5,sub,x4,sub,x4,x2",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,x2,sub,add,x5,x1,x1",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,x2,mul,add,x5,sub,x5,x5,div,x2,x2",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,0,"div,mul,x5,x2,div,x1,sub,x1,x1",0.2425246341537981,0.2425246341537981,False,0,0,Aref_m2 * (0) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x4*x5/x3,"mul,x3,div,mul,x5,div,x2,x3,div,x3,x4",0.2425246341537981,0.2425246341537981,False,pi2*pi4*pi5/pi3,"π₂⋅π₄⋅π₅
────────
   π₃   ",Aref_m2 * (pi2*pi4*pi5/pi3) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,x5,mul,div,x2,x3,x3",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,x2,div,x5,div,x5,x5",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,x5,add,x3,sub,x2,x3",0.242524634153798,0.242524634153798,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,x5,mul,div,x5,x5,add,x2,sub,x1,x1",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"mul,sub,add,x1,x5,x1,x2",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x2*x5,"sub,mul,x5,x2,sub,x1,x1",0.2425246341537981,0.2425246341537981,False,pi2*pi5,π₂⋅π₅,Aref_m2 * (pi2*pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700311603992576,1,0,x1*x2*x5/x4,"mul,x5,mul,div,x1,x4,x2",0.2425246341537981,0.2425246341537981,False,pi1*pi2*pi5/pi4,"π₁⋅π₂⋅π₅
────────
   π₄   ",Aref_m2 * (pi1*pi2*pi5/pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700307873157695,1,0,x2*(x4*(x1 + x4*(x2 + x4)) - x4 + x5),"mul,sub,add,mul,add,mul,x4,add,x2,x4,x1,x4,x5,x4,x2",0.242525452664874,0.242525452664874,False,pi2*(pi4*(pi1 + pi4*(pi2 + pi4)) - pi4 + pi5),π₂⋅(π₄⋅(π₁ + π₄⋅(π₂ + π₄)) - π₄ + π₅),Aref_m2 * (pi2*(pi4*(pi1 + pi4*(pi2 + pi4)) - pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700306983317587,1,0,x2*(-x4 + x5),"mul,x2,sub,x5,x4",0.242525647888,0.242525647888,False,pi2*(-pi4 + pi5),π₂⋅(-π₄ + π₅),Aref_m2 * (pi2*(-pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700306983317587,1,0,x2*(-x4 + x5),"mul,x2,add,sub,x5,x2,sub,sub,add,x3,x2,x3,x4",0.242525647888,0.242525647888,False,pi2*(-pi4 + pi5),π₂⋅(-π₄ + π₅),Aref_m2 * (pi2*(-pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700306983317587,1,0,x2*x5 - x4*(x2 + x4**3/x5),"sub,mul,x5,x2,mul,x4,add,div,mul,mul,x4,x4,x4,x5,x2",0.242525647888,0.242525647888,False,pi2*pi5 - pi4*(pi2 + pi4**3/pi5),"           ⎛       3⎞
           ⎜     π₄ ⎟
π₂⋅π₅ - π₄⋅⎜π₂ + ───⎟
           ⎝      π₅⎠",Aref_m2 * (pi2*pi5 - pi4*(pi2 + pi4**3/pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
