r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
7.448726296424865723e-01,6.700526475906372070e-01,1.386787742376327515e-01,4.513524472713470459e-01,1.168400001525878906e+01,1.123999977111816406e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.097927331924438477e+00,1.934665441513061523e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.875415027141571045e-01,5.021882057189941406e-02,5.500000000000000000e+03
7.448726296424865723e-01,6.700323224067687988e-01,1.537890434265136719e-01,4.724505841732025146e-01,1.180399990081787109e+01,1.147999954223632812e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.980000000000000000e+02,2.400000000000000000e+01,2.098824739456176758e+00,1.958002924919128418e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878674805164337158e-01,5.165481567382812500e-02,6.000000000000000000e+03
7.448726296424865723e-01,6.841064095497131348e-01,1.433928906917572021e-01,5.095937848091125488e-01,1.185999965667724609e+01,1.196000003814697266e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.091361761093139648e+00,1.882501959800720215e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878722190856933594e-01,5.180811882019042969e-02,6.500000000000000000e+03
7.448726296424865723e-01,6.701448559761047363e-01,1.443823277950286865e-01,4.864118099212646484e-01,1.174800014495849609e+01,1.131999969482421875e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.980000000000000000e+02,2.500000000000000000e+01,2.091224431991577148e+00,1.940536499023437500e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.873287439346313477e-01,5.190539360046386719e-02,7.000000000000000000e+03
8.119480013847351074e-01,8.119480013847351074e-01,1.418194770812988281e-01,4.583404362201690674e-01,1.179199981689453125e+01,1.107999992370605469e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.970000000000000000e+02,2.500000000000000000e+01,2.092735767364501953e+00,1.953110694885253906e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878692090511322021e-01,5.128479003906250000e-02,7.500000000000000000e+03
8.119480013847351074e-01,4.954358935356140137e-01,1.332724988460540771e-01,4.082748293876647949e-01,1.200800037384033203e+01,1.123999977111816406e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.086734533309936523e+00,1.899233698844909668e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.666090369224548340e-01,5.009794235229492188e-02,8.000000000000000000e+03
8.119480013847351074e-01,6.700401902198791504e-01,1.466893255710601807e-01,4.710440337657928467e-01,1.183199977874755859e+01,1.069230747222900391e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.600000000000000000e+01,4.970000000000000000e+02,2.500000000000000000e+01,2.093688249588012695e+00,1.940741181373596191e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878721892833709717e-01,5.012845993041992188e-02,8.500000000000000000e+03
8.119480013847351074e-01,6.601927280426025391e-01,1.369305700063705444e-01,4.439150691032409668e-01,1.196800041198730469e+01,1.100000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+02,2.500000000000000000e+01,2.091334104537963867e+00,1.899482965469360352e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878256082534790039e-01,5.287098884582519531e-02,9.000000000000000000e+03
8.119480013847351074e-01,6.818780303001403809e-01,1.388169527053833008e-01,4.547749757766723633e-01,1.184799957275390625e+01,1.123999977111816406e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.400000000000000000e+01,2.090827226638793945e+00,1.902035474777221680e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878282606601715088e-01,5.077385902404785156e-02,9.500000000000000000e+03
8.119480013847351074e-01,6.771805286407470703e-01,1.319831609725952148e-01,4.405596852302551270e-01,1.177600002288818359e+01,1.035999965667724609e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.950000000000000000e+02,2.500000000000000000e+01,2.095719337463378906e+00,1.897326350212097168e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.524504601955413818e-01,5.116081237792968750e-02,1.000000000000000000e+04
8.119480013847351074e-01,6.700348854064941406e-01,1.491553932428359985e-01,4.329128563404083252e-01,1.200399971008300781e+01,1.092000007629394531e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.960000000000000000e+02,2.500000000000000000e+01,2.087384700775146484e+00,1.875583171844482422e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.697303831577301025e-01,5.098748207092285156e-02,1.050000000000000000e+04
8.119480013847351074e-01,6.700340509414672852e-01,1.386274993419647217e-01,4.842564761638641357e-01,1.179599952697753906e+01,1.139999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.091417074203491211e+00,1.892073512077331543e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878746628761291504e-01,5.122447013854980469e-02,1.100000000000000000e+04
8.119480013847351074e-01,6.838375926017761230e-01,1.331470310688018799e-01,4.239824414253234863e-01,1.177999973297119141e+01,1.156000041961669922e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.970000000000000000e+02,2.500000000000000000e+01,2.093702316284179688e+00,1.891146540641784668e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.810874223709106445e-01,5.310392379760742188e-02,1.150000000000000000e+04
8.119480013847351074e-01,6.773964166641235352e-01,1.404545456171035767e-01,4.952484071254730225e-01,1.156799983978271484e+01,1.043999958038330078e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.500000000000000000e+01,4.990000000000000000e+02,2.500000000000000000e+01,2.095449924468994141e+00,1.863984107971191406e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878723382949829102e-01,5.134534835815429688e-02,1.200000000000000000e+04
